method,controller_type,dwa_horizon,dwa_beam_width,dwa_replan_each_step,dwa_continue_after_first_success,model_path,training_steps,episodes,successes,success_rate,collision_rate,avg_steps_to_goal,std_steps_to_goal,avg_steps_all,std_steps_all,avg_wall_time_sec,std_wall_time_sec,total_wall_time_sec,decision_calls,avg_decision_time_sec,std_decision_time_sec,total_decision_time_sec,decision_time_per_step_sec,avg_reward,std_reward
H=9 B=32 seq,DWA,9,32,0,0,,,100,100,1.0,0.0,33.17,13.818867536813574,33.17,13.818867536813574,0.14083366481994744,0.06018653470627958,14.083366481994744,420,0.033366778326178195,0.011885214409141651,14.014046896994842,0.004224916158273995,29.192438210043385,9.569420474430423
H=9 B=512 seq,DWA,9,512,0,0,,,100,100,1.0,0.0,30.74,12.40049998991976,30.74,12.40049998991976,1.835198368220008,0.7779517431269418,183.5198368220008,389,0.4715311575064965,0.18340866501122874,183.42562027002714,0.05967001310020401,29.4190528778114,9.591949457166935
H=9 B=1024 seq,DWA,9,1024,0,0,,,100,100,1.0,0.0,30.64,12.443890067016826,30.64,12.443890067016826,3.581048080979999,1.5325779610686445,358.1048080979999,388,0.9226645105746899,0.3656631659008696,357.9938301029797,0.11683871739653384,29.38228220640875,9.59357588513915
H=15 B=32 seq,DWA,15,32,0,0,,,100,100,1.0,0.0,33.2,13.702554506368513,33.2,13.702554506368513,0.15309505136003282,0.06525349116271759,15.309505136003281,276,0.05522296298548336,0.024009699663943434,15.241537783993408,0.004590824633732954,29.12835025713657,9.525655630790054
H=15 B=512 seq,DWA,15,512,0,0,,,100,100,1.0,0.0,30.22,12.247922272777533,30.22,12.247922272777533,2.1044978140099193,0.8958653149152275,210.44978140099192,252,0.8348191359722593,0.38460347756995383,210.37442226500934,0.06961430253640283,29.438253162324354,9.606293025481445
H=15 B=1024 seq,DWA,15,1024,0,0,,,100,100,1.0,0.0,30.07,12.278644061947556,30.07,12.278644061947556,4.17454445236981,1.7991252750797866,417.454445236981,250,1.6694726482201077,0.7701621165208886,417.3681620550269,0.1387988566860748,29.42876076884482,9.616336573846754
H=20 B=32 seq,DWA,20,32,0,0,,,100,100,1.0,0.0,33.54,13.970984217298364,33.54,13.970984217298364,0.16189183495996987,0.06962428643594502,16.189183495996986,216,0.07464649240271817,0.03271444418089866,16.123642358987126,0.004807287525040884,29.142957012172015,9.515223661488324
H=20 B=512 seq,DWA,20,512,0,0,,,100,100,1.0,0.0,30.13,12.230825810222303,30.13,12.230825810222303,2.234433571119807,0.9577308116086615,223.44335711198073,208,1.073811044672801,0.5762372074806041,223.3526972919426,0.07412967052503903,29.500189335887566,9.627521235117579
H=20 B=1024 seq,DWA,20,1024,0,0,,,100,100,1.0,0.0,30.0,12.271104269787623,30.0,12.271104269787623,4.335234370079997,1.8755859956877374,433.5234370079997,208,2.083875079610579,1.1414792398253186,433.44601655900044,0.1444820055196668,29.489795805836398,9.645961636648218
ppo_without_previous_step,PPO,,,,,/home/ciro/Desktop/spider/tpFInalRLSpider/models_previous_steps/previous_steps/ppo_spider_previous_steps_1000000_steps.zip,1000000,100,100,1.0,0.0,29.75,9.27402285957933,29.75,9.27402285957933,0.008306782059999024,0.002590260572736361,0.8306782059999023,2975,0.0002381323015136125,9.410796117513528e-05,0.7084435970029972,0.0002381323015136125,29.51514012637206,9.738287976387202
