method,controller_type,dwa_horizon,dwa_beam_width,dwa_replan_each_step,dwa_continue_after_first_success,model_path,training_steps,episodes,successes,success_rate,collision_rate,avg_steps_to_goal,std_steps_to_goal,avg_steps_all,std_steps_all,avg_wall_time_sec,std_wall_time_sec,total_wall_time_sec,decision_calls,avg_decision_time_sec,std_decision_time_sec,total_decision_time_sec,decision_time_per_step_sec,avg_reward,std_reward,source_csv
H=4 B=32 seq,DWA,4,32,0,0,,,100,100,1.0,0.0,35.41,15.543548500905448,35.41,15.543548500905448,0.1111587568799223,0.05013440073760843,11.11587568799223,924,0.011938385990224442,0.0028641418671964034,11.031068654967385,0.003115241077370061,28.95780819151621,9.468581683078218,comparison_results/dwa_h4/walltime_steps_metrics.csv
H=4 B=1024 seq,DWA,4,1024,0,0,,,100,100,1.0,0.0,34.73,15.333528621944788,34.73,15.333528621944788,1.6976771668798392,0.783383559219408,169.76771668798392,907,0.18697797304741134,0.05355576629952967,169.5890215540021,0.048830700130723326,29.01488993818624,9.457195025043301,comparison_results/dwa_h4/walltime_steps_metrics.csv
H=4 B=full seq,DWA,4,full,0,0,,,100,100,1.0,0.0,34.73,15.333528621944788,34.73,15.333528621944788,2.778548973959805,1.2866995132136594,277.8548973959805,907,0.30618150060421445,0.08930698111338896,277.7066210480225,0.07996159546444645,29.01488993818624,9.457195025043301,comparison_results/dwa_h4/walltime_steps_metrics.csv
PPO ppo_containing_previous_step,PPO,,,,,spiderJAR/models_previous_steps/previous_steps/ppo_spider_final_previous_steps.zip,,100,100,1.0,0.0,28.13,9.22242375951138,28.13,9.22242375951138,0.007663616419995379,0.002509169851931419,0.7663616419995378,2813,0.00023220443903301395,8.716613802578093e-05,0.6531910869998683,0.00023220443903301395,29.952421158420858,9.697788574939485,comparison_results/ppo_both_same_run/walltime_steps_metrics.csv
PPO ppo_spider_without_previous_step,PPO,,,,,ppo_spider_without_previous_step_1000000_epochs.zip,,100,100,1.0,0.0,29.75,9.27402285957933,29.75,9.27402285957933,0.007566857849997177,0.002459847534422653,0.7566857849997177,2975,0.0002137866060469865,5.445059288095782e-05,0.6360151529897848,0.0002137866060469865,29.51514012637206,9.738287976387202,comparison_results/ppo_both_same_run/walltime_steps_metrics.csv
H=9 B=32 seq,DWA,9,32,0,0,,,100,100,1.0,0.0,33.17,13.818867536813574,33.17,13.818867536813574,0.14083366481994744,0.06018653470627958,14.083366481994744,420,0.033366778326178195,0.011885214409141651,14.014046896994842,0.004224916158273995,29.192438210043385,9.569420474430423,comparison_results/dwa_h9_h15_h20/walltime_steps_metrics.csv
H=9 B=512 seq,DWA,9,512,0,0,,,100,100,1.0,0.0,30.74,12.40049998991976,30.74,12.40049998991976,1.835198368220008,0.7779517431269418,183.5198368220008,389,0.4715311575064965,0.18340866501122874,183.42562027002714,0.05967001310020401,29.4190528778114,9.591949457166935,comparison_results/dwa_h9_h15_h20/walltime_steps_metrics.csv
H=9 B=1024 seq,DWA,9,1024,0,0,,,100,100,1.0,0.0,30.64,12.443890067016826,30.64,12.443890067016826,3.581048080979999,1.5325779610686445,358.1048080979999,388,0.9226645105746899,0.3656631659008696,357.9938301029797,0.11683871739653384,29.38228220640875,9.59357588513915,comparison_results/dwa_h9_h15_h20/walltime_steps_metrics.csv
H=15 B=32 seq,DWA,15,32,0,0,,,100,100,1.0,0.0,33.2,13.702554506368513,33.2,13.702554506368513,0.15309505136003282,0.06525349116271759,15.309505136003281,276,0.05522296298548336,0.024009699663943434,15.241537783993408,0.004590824633732954,29.12835025713657,9.525655630790054,comparison_results/dwa_h9_h15_h20/walltime_steps_metrics.csv
H=15 B=512 seq,DWA,15,512,0,0,,,100,100,1.0,0.0,30.22,12.247922272777533,30.22,12.247922272777533,2.1044978140099193,0.8958653149152275,210.44978140099192,252,0.8348191359722593,0.38460347756995383,210.37442226500934,0.06961430253640283,29.438253162324354,9.606293025481445,comparison_results/dwa_h9_h15_h20/walltime_steps_metrics.csv
H=15 B=1024 seq,DWA,15,1024,0,0,,,100,100,1.0,0.0,30.07,12.278644061947556,30.07,12.278644061947556,4.17454445236981,1.7991252750797866,417.454445236981,250,1.6694726482201077,0.7701621165208886,417.3681620550269,0.1387988566860748,29.42876076884482,9.616336573846754,comparison_results/dwa_h9_h15_h20/walltime_steps_metrics.csv
H=20 B=32 seq,DWA,20,32,0,0,,,100,100,1.0,0.0,33.54,13.970984217298364,33.54,13.970984217298364,0.16189183495996987,0.06962428643594502,16.189183495996986,216,0.07464649240271817,0.03271444418089866,16.123642358987126,0.004807287525040884,29.142957012172015,9.515223661488324,comparison_results/dwa_h9_h15_h20/walltime_steps_metrics.csv
H=20 B=512 seq,DWA,20,512,0,0,,,100,100,1.0,0.0,30.13,12.230825810222303,30.13,12.230825810222303,2.234433571119807,0.9577308116086615,223.44335711198073,208,1.073811044672801,0.5762372074806041,223.3526972919426,0.07412967052503903,29.500189335887566,9.627521235117579,comparison_results/dwa_h9_h15_h20/walltime_steps_metrics.csv
H=20 B=1024 seq,DWA,20,1024,0,0,,,100,100,1.0,0.0,30.0,12.271104269787623,30.0,12.271104269787623,4.335234370079997,1.8755859956877374,433.5234370079997,208,2.083875079610579,1.1414792398253186,433.44601655900044,0.1444820055196668,29.489795805836398,9.645961636648218,comparison_results/dwa_h9_h15_h20/walltime_steps_metrics.csv
