method,model_path,training_steps,episodes,successes,success_rate,collision_rate,avg_steps_to_goal,std_steps_to_goal,avg_steps_all,std_steps_all,avg_wall_time_sec,std_wall_time_sec,total_wall_time_sec,avg_reward,std_reward
DWA/tree-search,,,100,100,1.0,0.0,31.27,13.406606580339412,31.27,13.406606580339412,4.441963111089999,2.1530421941175466,444.1963111089999,29.34730761767444,9.604933063696118
PPO 50k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_50000_steps.zip,50000,100,100,1.0,0.0,32.28,11.262397613297091,32.28,11.262397613297091,0.008863772979966598,0.0030199359780315716,0.8863772979966598,29.144418912985255,9.579448547010964
PPO 100k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_100000_steps.zip,100000,100,100,1.0,0.0,27.87,9.348427675283157,27.87,9.348427675283157,0.007419447569973272,0.002480535619629555,0.7419447569973272,29.66574472311751,9.674260296568859
PPO 150k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_150000_steps.zip,150000,100,100,1.0,0.0,27.79,9.327695320924668,27.79,9.327695320924668,0.007697697320004408,0.0036211378267493283,0.7697697320004409,29.636280253440233,9.71778076333478
PPO 200k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_200000_steps.zip,200000,100,100,1.0,0.0,27.8,9.359487165438074,27.8,9.359487165438074,0.007342076679992715,0.0030539524414747153,0.7342076679992715,29.646058950875613,9.664130980111208
PPO 250k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_250000_steps.zip,250000,100,100,1.0,0.0,28.07,9.600265621325278,28.07,9.600265621325278,0.007406217840029967,0.0026803012695365523,0.7406217840029967,29.64421096595017,9.680431023536075
PPO 300k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_300000_steps.zip,300000,100,100,1.0,0.0,27.8,9.247702417357516,27.8,9.247702417357516,0.0073456599800101685,0.0032852882054942743,0.7345659980010169,29.640962149992088,9.69804991160828
PPO 350k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_350000_steps.zip,350000,100,100,1.0,0.0,28.01,9.409032893980125,28.01,9.409032893980125,0.007211514809991968,0.002409526261284778,0.7211514809991968,29.648530972846487,9.689849334660503
PPO 400k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_400000_steps.zip,400000,100,100,1.0,0.0,27.98,9.363738569609897,27.98,9.363738569609897,0.0075508009500026676,0.003148518932138414,0.7550800950002667,29.651278418857,9.685748344608903
PPO 450k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_450000_steps.zip,450000,100,100,1.0,0.0,28.26,9.262418690601283,28.26,9.262418690601283,0.007382904219980446,0.002699352008198912,0.7382904219980446,29.72101615858435,9.683197233705169
PPO 500k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_500000_steps.zip,500000,100,100,1.0,0.0,28.29,9.363006995618449,28.29,9.363006995618449,0.007352005439988716,0.0030549400037139687,0.7352005439988716,29.77751111212768,9.686715154959101
PPO 550k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_550000_steps.zip,550000,100,100,1.0,0.0,28.3,9.1,28.3,9.1,0.007854838859989286,0.003265283506302199,0.7854838859989286,29.779568090475976,9.709983431778637
PPO 600k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_600000_steps.zip,600000,100,100,1.0,0.0,28.31,9.270053937275662,28.31,9.270053937275662,0.007507849279973016,0.0037487319662286088,0.7507849279973016,29.770576184591548,9.723154777189533
PPO 650k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_650000_steps.zip,650000,100,100,1.0,0.0,28.23,9.450772455201744,28.23,9.450772455201744,0.007115173640004286,0.002337296751363667,0.7115173640004286,29.858490565606232,9.727628157335367
PPO 700k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_700000_steps.zip,700000,100,100,1.0,0.0,28.03,9.405801401262945,28.03,9.405801401262945,0.007375614489974396,0.0031462259570579068,0.7375614489974396,29.786076434844553,9.716089892212908
PPO 750k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_750000_steps.zip,750000,100,100,1.0,0.0,28.1,9.283856957105703,28.1,9.283856957105703,0.007141013010000279,0.002343500837032614,0.7141013010000279,29.81316152249883,9.689107647623649
PPO 800k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_800000_steps.zip,800000,100,100,1.0,0.0,28.07,9.263104231303888,28.07,9.263104231303888,0.007675750239977788,0.0032824557495940688,0.7675750239977788,29.814736639646735,9.70210555013459
PPO 850k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_850000_steps.zip,850000,100,100,1.0,0.0,28.07,9.278205645489866,28.07,9.278205645489866,0.007539017939957375,0.0032786467953941187,0.7539017939957375,29.84489616525624,9.712006469237995
PPO 900k,spiderJAR/models_previous_steps/previous_steps/ppo_spider_previous_steps_900000_steps.zip,900000,100,100,1.0,0.0,28.16,9.519159626773783,28.16,9.519159626773783,0.007175559199977215,0.002485375710205117,0.7175559199977215,29.872167526151166,9.740749797963778
