,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size_pow,params_clip_range,params_ent_coef,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps_pow,params_net_arch,params_one_minus_gae_lambda,params_one_minus_gamma,user_attrs_batch_size,user_attrs_gamma,user_attrs_n_steps,state
0,0,-13169.948940199998,2025-11-16 19:44:48.050026,2025-11-16 19:51:19.425555,0 days 00:06:31.375529,tanh,7,0.3,0.0001416254428388848,1.3091100869573813e-05,0.5589641136318437,10,5,small,0.0012454198720928571,0.001182699054425642,128,0.9988173009455743,32,COMPLETE
1,1,-182.7084408,2025-11-16 19:44:48.053097,2025-11-16 19:47:41.237271,0 days 00:02:53.184174,relu,7,0.2,0.0011373665039822387,2.5498190430161496e-05,1.9288866494608357,1,10,medium,0.023200236358480245,0.0006404755492507216,128,0.9993595244507493,1024,COMPLETE
2,2,-6.972906,2025-11-16 19:44:48.057820,2025-11-16 19:52:11.803538,0 days 00:07:23.745718,relu,9,0.2,3.1740879998385533e-06,2.252386953994557e-05,1.3160713081186195,20,6,medium,0.00035375180735815035,0.0019019165565314143,512,0.9980980834434686,64,COMPLETE
3,3,-3.2848318,2025-11-16 19:44:48.059413,2025-11-16 19:51:57.400367,0 days 00:07:09.340954,tanh,6,0.1,7.359880823041734e-05,6.982845959742092e-05,1.1920858744428822,20,9,medium,0.021799829598350366,0.0221802202165828,64,0.9778197797834172,512,COMPLETE
4,4,-166.8399768,2025-11-16 19:47:41.238049,2025-11-16 19:50:39.200519,0 days 00:02:57.962470,relu,8,0.1,1.0154264736870877e-08,4.636215796606948e-05,0.8402352942145639,5,12,medium,0.015528897303530265,0.0009440080682101441,256,0.9990559919317898,4096,COMPLETE
5,5,-44.543181000000004,2025-11-16 19:50:39.201578,2025-11-16 19:54:38.075417,0 days 00:03:58.873839,relu,5,0.1,0.051355175367863395,6.61453505253278e-05,1.2859949242108482,5,9,small,0.004045173051831158,0.0015541016549908081,32,0.9984458983450092,512,COMPLETE
6,6,-7.805446599999999,2025-11-16 19:51:19.426219,2025-11-16 20:04:06.493648,0 days 00:12:47.067429,relu,2,0.1,4.5402177680955236e-08,0.0002536426336826197,1.993581205177446,5,9,tiny,0.05229255576468201,0.001774312682777061,4,0.9982256873172229,512,COMPLETE
7,7,-8.784920600000001,2025-11-16 19:51:57.401207,2025-11-16 19:54:42.495921,0 days 00:02:45.094714,relu,7,0.4,0.0021037595404817307,0.0004749272439368217,0.8445765523915154,1,5,medium,0.0002528424204645416,0.00024643133821411543,128,0.9997535686617859,32,COMPLETE
8,8,-30.1990434,2025-11-16 19:52:11.804297,2025-11-16 19:56:19.064553,0 days 00:04:07.260256,relu,7,0.3,0.0020219938427000574,3.0513127297692506e-05,1.5585703355817238,20,10,small,0.0006277183123076577,0.015094411560865282,128,0.9849055884391347,1024,COMPLETE
9,9,-8.7269,2025-11-16 19:54:38.076201,2025-11-16 19:57:07.997845,0 days 00:02:29.921644,relu,10,0.1,1.2468992340812233e-08,0.0004006592129512756,0.4297789568521698,1,7,medium,0.0008420101942784611,0.0008575937810924839,1024,0.9991424062189075,128,COMPLETE
10,10,-1273.3437958,2025-11-16 19:54:42.496899,2025-11-16 19:57:17.426870,0 days 00:02:34.929971,relu,4,0.1,0.000215085767469979,4.355766729157078e-05,1.5420243415992918,1,5,tiny,0.00019982613131645257,0.00010903932026740499,16,0.9998909606797326,32,COMPLETE
11,11,-235.9601986,2025-11-16 19:56:19.065553,2025-11-16 20:00:16.486887,0 days 00:03:57.421334,tanh,2,0.2,4.160812536758342e-07,1.810030956578394e-05,1.0973628806969629,1,9,tiny,0.024101196256400857,0.0013772466373664868,4,0.9986227533626335,512,PRUNED
12,12,-153.8223418,2025-11-16 19:57:07.998875,2025-11-16 20:00:18.185038,0 days 00:03:10.186163,relu,7,0.3,3.5671457068620853e-06,4.35550901038149e-05,0.4378326816473779,20,8,tiny,0.004206779435995148,0.00026688209987540013,128,0.9997331179001246,256,PRUNED
13,13,35.185056800000005,2025-11-16 19:57:17.427940,2025-11-16 20:29:35.226916,0 days 00:32:17.798976,tanh,3,0.1,1.440070886288556e-06,0.000355207825977822,0.7456096284142648,20,8,medium,0.0024085305544837197,0.020861896769546508,8,0.9791381032304535,256,COMPLETE
14,14,-32.649172,2025-11-16 20:00:16.487820,2025-11-16 20:04:35.874967,0 days 00:04:19.387147,relu,8,0.2,4.250521533908046e-08,2.8170932614409476e-05,1.3066864935614917,10,6,medium,0.0004333587803780146,0.0004965287114236115,256,0.9995034712885764,64,PRUNED
15,15,-129.9887296,2025-11-16 20:00:18.185748,2025-11-16 20:06:39.062581,0 days 00:06:20.876833,tanh,9,0.2,5.90512139792361e-07,2.6383609459487158e-05,1.5684393042948885,20,6,medium,0.00027478088241934904,0.001115488123498117,512,0.9988845118765018,64,PRUNED
